Gene,immature,A,B
TSPAN6,0.070621,0.106641,0.162144
TNMD,0,0,0
DPM1,20.280869,21.577955,24.72389
SCYL3,1.498799,3.859121,1.867398
C1orf112,1.032787,1.513904,1.707875
FGR,684.535461,289.145844,491.94162
CFH,0.02292,2.033764,0
FUCA2,38.570095,49.549465,47.203484
GCLC,46.577187,22.907507,31.471701
NFYA,10.662164,12.961475,13.785587
STPG1,1.173955,1.111098,1.041006
NIPAL3,3.201799,7.847517,3.948207
LAS1L,9.288045,8.622295,10.617257
ENPP4,3.521235,10.421905,3.01339
SEMA3F,0,3.06E-02,0
CFTR,0,2.50E-02,0
ANKIB1,8.072261,7.103922,6.35633
CYP51A1,45.317993,44.835793,38.621113
KRIT1,10.648776,14.120894,11.062752
RAD52,4.819143,4.995387,6.452822
MYH16,0,0,0
BAD,16.279377,17.392797,17.758842
LAP3,84.373207,587.724426,106.53804
CD99,123.066902,73.997177,145.689041
HS3ST1,0.320656,0.291665,0.397149
AOC1,5.096534,2.687978,4.040576
WNT16,0,0,0
HECW1,0,0,0
MAD1L1,28.455362,13.88353,23.187105
LASP1,199.637787,116.592293,150.369446
SNX11,18.824034,31.34973,15.117714
TMEM176A,115.509804,178.485153,105.887741
M6PR,162.375885,77.251862,207.98967
KLHL13,0.05912,0,0.266995
CYP26B1,0,0,0
ICA1,4.244055,3.408352,5.416306
DBNDD1,0.255772,0.115543,0.395965
ALS2,4.651475,4.65007,3.97284
CASP10,7.098344,15.785872,7.071415
CFLAR,29.667135,88.084274,49.572639
TFPI,5.922999,2.901654,6.120958
NDUFAF7,4.999123,4.579,5.314808
RBM5,46.810852,37.959957,44.468849
MTMR7,0.210156,0.164095,8.58E-02
SLC7A2,0,7.65E-02,0
ARF5,66.901558,49.612869,71.827896
SARM1,1.806604,1.520344,2.47477
POLDIP2,26.27747,22.669527,26.193117
PLXND1,229.766556,193.133179,212.750458
AK2,30.186983,41.96479,29.013752
CD38,0.518423,67.281471,0.108393
FKBP4,20.60721,25.69776,23.998592
KDM1A,14.554546,15.719018,16.338608
RBM6,28.558706,34.396839,30.521093
CAMKK1,8.387084,1.822674,5.419731
RECQL,16.339935,21.030176,17.534536
CCDC132,18.120975,13.652012,16.7449
HSPB6,0,0,0
ARHGAP33,0.251053,0.187356,0.139869
NDUFAB1,66.182243,66.136108,75.486771
PDK4,7.334435,1.360874,9.791819
SLC22A16,3.110213,0.592812,3.660247
ZMYND10,0.141304,0,0.846104
ABCB5,0.047287,6.95E-02,0
ARX,0,0,0
SLC25A13,14.415536,10.149186,12.688672
ST7,12.218017,7.706401,16.290874
CDC27,7.700119,12.20454,10.066225
SLC4A1,0,0,0
CALCR,0,0,0
HCCS,14.218145,13.672389,14.192815
DVL2,15.939507,16.977325,15.667194
PRSS22,7.279067,1.027181,4.038435
UPF1,30.185947,32.587681,35.160629
SKAP2,32.240391,21.678616,34.057426
SLC25A5,270.749451,202.627518,300.382141
CCDC109B,14.305091,21.038916,16.722633
HOXA11,0,0,0
POLR2J,22.944235,16.50964,23.498255
DHX33,2.80264,3.349906,3.450248
MEOX1,0,0,0
THSD7A,0,0,0
LIG3,6.771624,7.427291,9.825818
RPAP3,11.769649,14.123835,12.712861
ACSM3,0.19238,0.222766,0.176266
AC004381.6,1.862767,0.64463,0.998319
CIAPIN1,12.517733,16.796818,10.861547
SPPL2B,12.88976,8.856966,12.998565
FAM214B,25.553663,27.887575,27.151833
COPZ2,2.066842,1.288796,0.683315
PRKAR2B,1.976703,13.152358,0.96971
MSL3,12.700122,15.070668,11.263424
CREBBP,9.435105,12.225621,10.083954
BZRAP1,0.821591,1.271569,0.91382
MPO,0.432897,0.75798,0.293944
PON1,0,0,0
GCFC2,1.801844,1.761892,1.807316
WDR54,0.311019,2.702324,0
CROT,3.831668,3.69492,4.971361
ABCB4,1.561626,9.93E-02,1.980711
KMT2E,15.211471,22.539389,24.54641
RHBDD2,8.093853,12.556802,8.720117
SOX8,0.729173,0.266256,0.896763
IBTK,17.724426,14.760811,17.087389
ZNF195,5.421829,6.16684,6.424823
MYCBP2,20.58716,30.644146,17.049406
FBXL3,14.259806,15.232197,12.633183
ITGAL,50.163326,49.290218,28.666239
PDK2,7.606995,3.700103,7.025872
ITGA3,84.513504,13.75221,132.559967
ZFX,2.970561,6.329238,4.636665
LAMP2,158.450653,147.755066,175.494705
GGNBP2,33.739273,28.522694,34.989109
ITGA2B,0,0,0
ASB4,0,0,0
GDE1,34.096027,27.907776,38.512455
C19orf60,46.262817,35.207573,48.849873
CRLF1,2.494501,0.933899,1.360101
OSBPL7,3.002154,4.152143,5.964291
TMEM98,0,0,0
YBX2,0,0,0
KRT33A,0,0,0
MAP3K14,4.47447,5.325319,9.977613
ABCC8,0,0,0
CCL18,19.638714,37.35603,428.739716
CCL3,68.14064,292.859283,21.026344
SYNRG,14.341319,13.991615,17.415443
CACNG3,0,0,0
TMEM132A,4.705401,16.277941,3.337635
AP2B1,29.99457,22.13479,32.308914
TAC1,0,0,0
ZNF263,7.878731,5.524108,9.273894
CX3CL1,0.018084,0,3.03E-02
SPATA20,32.959549,22.180952,40.087673
CACNA1G,0.027626,5.06E-02,0.173392
TNFRSF12A,23.869955,21.357531,25.916903
DLX6,0,3.07E-03,0
MAP3K9,0.057336,0.121779,0.104999
RALA,34.881348,50.878395,24.481028
